row_id,page_id,page_title,contributor,timestamp,creation_dt,topic,opinion,turn,quality_seg,type,type2,stance,sentiment,url,label
20,1812320,Hugo Chávez,Magister Mathematicae,1337172322.0,5/16/12 12:45,discusión en la página de jimbo wales en la wikipedia en inglés encontrar el contenido de este artículo insatisfactoria y discutiendo cómo cambiarla,": obviously circunventing the discussion of/with the community that should take place on this talk page (yet i don't see much intent of starting a honest discussion recently here in the past months, properly raising issues and proposing references).",12.0,,,,,,https://es.wikipedia.org/wiki/Discusión:Hugo_Chávez,
21,1812320,Hugo Chávez,Magister Mathematicae,1337172407.0,5/16/12 12:46,discusión en la página de jimbo wales en la wikipedia en inglés encontrar el contenido de este artículo insatisfactoria y discutiendo cómo cambiarla,"greets to the democratic godkings and alike, should they come to moderate or control community editing.",12.0,,,,,,https://es.wikipedia.org/wiki/Discusión:Hugo_Chávez,
22,1812320,Hugo Chávez,Magister Mathematicae,1337172128.0,5/16/12 12:42,discusión en la página de jimbo wales en la wikipedia en inglés encontrar el contenido de este artículo insatisfactoria y discutiendo cómo cambiarla,-- magister 12:42 16 may 2012 (utc),12.0,,,,,,https://es.wikipedia.org/wiki/Discusión:Hugo_Chávez,
