Wikipedia:Artículos_con_datos_locales,92697
Wikipedia:Artículos_con_datos_por_trasladar_a_Wikidata,78026
Hombres,69782
Personas_vivas,49180
Wikipedia:Páginas_con_enlaces_mágicos_de_ISBN,45461
Wikipedia:Artículos_con_identificadores_VIAF,42063
Wikipedia:Artículos_con_coordenadas_en_Wikidata,30162
Wikipedia:Artículos_con_identificadores_LCCN,29680
Wikipedia:Páginas_con_referencias_con_parámetros_obsoletos,25274
Wikipedia:Artículos_con_identificadores_ISNI,25100
