0,378950
1000,719
2000,139
3000,48
4000,19
5000,9
6000,6
7000,6
8000,6
9000,4
10000,2
11000,1
12000,4
13000,1
14000,1
16000,2
21000,1
24000,4
28000,1
32000,1
34000,1
49000,1
50000,1
52000,1
63000,1
66000,2
67000,1
71000,1
77000,1
103000,1
114000,1
118000,1
149000,1
218000,1
307000,1
343000,1
