Label,Support,BL-P,BL-R,BL-F1,LSVC-P,LSVC-R,LSVC-F1,MNB-P,MNB-R,MNB-F1
ATT+,26,0.12359550561797752,0.4230769230769231,0.19130434782608693,0.875,0.5384615384615384,0.6666666666666667,1.0,0.46153846153846156,0.631578947368421
CO,153,0.39473684210526316,0.19607843137254902,0.2620087336244542,0.6433566433566433,0.6013071895424836,0.6216216216216215,0.5761904761904761,0.7908496732026143,0.6666666666666665
IP,26,0.11764705882352941,0.3076923076923077,0.1702127659574468,0.32142857142857145,0.34615384615384615,0.3333333333333333,0.47368421052631576,0.34615384615384615,0.39999999999999997
NRC,148,0.40625,0.2635135135135135,0.31967213114754095,0.7012195121951219,0.777027027027027,0.7371794871794871,0.71875,0.6216216216216216,0.6666666666666667
PSR,49,0.0684931506849315,0.10204081632653061,0.0819672131147541,0.39215686274509803,0.40816326530612246,0.4,0.3939393939393939,0.2653061224489796,0.3170731707317074
Macro,402,0.22214451144634034,0.2584803983963647,0.20503303833405662,0.5866323179450869,0.5342225732982036,0.5517602217602218,0.6325128161312372,0.49709394499310466,0.5363970902866922
CI (95\%),,0.03708626549420353,,,0.045375187959726435,,,0.04578900382300963,,
